frame_index,timestamp,gesture,trial,elapsed,dataset_source,confidence,num_points,points,range_profile,motion_score
209,2026-07-27T00:01:57.797782+00:00,left,1,0.934356,session_20260726_234022,0.0,0,[],null,0.0
210,2026-07-27T00:01:57.902869+00:00,left,1,1.039432,session_20260726_234022,0.0,0,[],null,0.0
211,2026-07-27T00:01:58.007921+00:00,left,1,1.144474,session_20260726_234022,0.0,0,[],null,0.0
212,2026-07-27T00:01:58.112985+00:00,left,1,1.249551,session_20260726_234022,0.0,0,[],null,0.0
213,2026-07-27T00:01:58.214446+00:00,left,1,1.351016,session_20260726_234022,0.0,0,[],null,0.0
214,2026-07-27T00:01:58.319532+00:00,left,1,1.4561,session_20260726_234022,0.0,0,[],null,0.0
215,2026-07-27T00:01:58.422273+00:00,left,1,1.558843,session_20260726_234022,0.0,0,[],null,0.0
216,2026-07-27T00:01:58.527353+00:00,left,1,1.663917,session_20260726_234022,0.0,0,[],null,0.0
217,2026-07-27T00:01:58.631110+00:00,left,1,1.767684,session_20260726_234022,0.0,0,[],null,0.0
218,2026-07-27T00:01:58.734229+00:00,left,1,1.870799,session_20260726_234022,0.0,0,[],null,0.0
219,2026-07-27T00:01:58.839319+00:00,left,1,1.975896,session_20260726_234022,0.0,0,[],null,0.0
220,2026-07-27T00:02:05.011198+00:00,left,2,4.8e-05,session_20260726_234022,0.0,0,[],null,0.0
221,2026-07-27T00:02:05.114421+00:00,left,2,0.103274,session_20260726_234022,0.0,0,[],null,0.0
222,2026-07-27T00:02:05.219513+00:00,left,2,0.208359,session_20260726_234022,0.0,0,[],null,0.0
223,2026-07-27T00:02:05.324587+00:00,left,2,0.313431,session_20260726_234022,0.0,0,[],null,0.0
224,2026-07-27T00:02:05.429375+00:00,left,2,0.418218,session_20260726_234022,0.0,0,[],null,0.0
225,2026-07-27T00:02:05.531197+00:00,left,2,0.520047,session_20260726_234022,0.0,0,[],null,0.0
226,2026-07-27T00:02:05.636272+00:00,left,2,0.62511,session_20260726_234022,0.0,0,[],null,0.0
227,2026-07-27T00:02:05.740006+00:00,left,2,0.728857,session_20260726_234022,0.0,0,[],null,0.0
228,2026-07-27T00:02:05.841761+00:00,left,2,0.830611,session_20260726_234022,0.0,0,[],null,0.0
229,2026-07-27T00:02:05.946851+00:00,left,2,0.935705,session_20260726_234022,0.0,0,[],null,0.0
230,2026-07-27T00:02:06.048731+00:00,left,2,1.037563,session_20260726_234022,0.0,0,[],null,0.0
231,2026-07-27T00:02:06.153789+00:00,left,2,1.142623,session_20260726_234022,0.0,0,[],null,0.0
232,2026-07-27T00:02:06.258863+00:00,left,2,1.247703,session_20260726_234022,0.0,0,[],null,0.0
233,2026-07-27T00:02:06.363956+00:00,left,2,1.352802,session_20260726_234022,0.0,0,[],null,0.0
234,2026-07-27T00:02:06.469034+00:00,left,2,1.457877,session_20260726_234022,0.0,0,[],null,0.0
235,2026-07-27T00:02:06.574112+00:00,left,2,1.562963,session_20260726_234022,0.0,0,[],null,0.0
236,2026-07-27T00:02:06.679189+00:00,left,2,1.668031,session_20260726_234022,0.0,0,[],null,0.0
237,2026-07-27T00:02:06.784249+00:00,left,2,1.773083,session_20260726_234022,0.0,0,[],null,0.0
238,2026-07-27T00:02:06.885946+00:00,left,2,1.874793,session_20260726_234022,0.0,0,[],null,0.0
239,2026-07-27T00:02:06.988379+00:00,left,2,1.977222,session_20260726_234022,0.0,0,[],null,0.0
240,2026-07-27T00:02:18.646434+00:00,left,3,4.3e-05,session_20260726_234022,0.0,0,[],null,0.0
241,2026-07-27T00:02:18.746761+00:00,left,3,0.100376,session_20260726_234022,0.0,0,[],null,0.0
242,2026-07-27T00:02:18.848659+00:00,left,3,0.202263,session_20260726_234022,0.0,0,[],null,0.0
243,2026-07-27T00:02:18.953717+00:00,left,3,0.307316,session_20260726_234022,0.0,0,[],null,0.0
244,2026-07-27T00:02:19.055485+00:00,left,3,0.40909,session_20260726_234022,0.0,0,[],null,0.0
245,2026-07-27T00:02:19.160559+00:00,left,3,0.514164,session_20260726_234022,0.0,0,[],null,0.0
246,2026-07-27T00:02:19.265634+00:00,left,3,0.619247,session_20260726_234022,0.0,0,[],null,0.0
247,2026-07-27T00:02:19.370710+00:00,left,3,0.724315,session_20260726_234022,0.0,0,[],null,0.0
248,2026-07-27T00:02:19.473039+00:00,left,3,0.826644,session_20260726_234022,0.0,0,[],null,0.0
249,2026-07-27T00:02:19.578105+00:00,left,3,0.931704,session_20260726_234022,0.0,0,[],null,0.0
250,2026-07-27T00:02:19.679194+00:00,left,3,1.0328,session_20260726_234022,0.0,0,[],null,0.0
